,0,1,2,3,4
0,6.0,0.0,28.556498507846868,"[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17.
 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30.]","[28.556498507846868, 27.48607597455454, 26.407280916256763, 25.320441944378825, 24.225890120599995, 23.123958856008972, 22.014983809543576, 20.89930278574587, 19.77725563186352, 18.649184134329136, 17.515431914648733, 16.37634432473133, 15.232268341691395, 14.083552462156291, 12.930546596110771, 11.773601960311067, 10.613070971300806, 9.449307138061553, 8.282664954330565, 7.113499790618506, 5.942167785960205, 4.769025739431225, 3.594431001463428, 2.4187413649925458, 1.2423149564710148, 0.06551012677917245, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,7.0,0.0,73.22029458010873,"[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17.
 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30.]","[73.22029458010873, 72.69133199525407, 72.14022692649694, 71.5671472457799, 70.97226751872527, 70.35576895146067, 69.71783933542181, 69.0586729901495, 68.378470704098, 67.67743967347293, 66.95579343911722, 66.21375182146463, 65.4515408535802, 64.66939271230845, 63.86754564755005, 63.04624390968863, 62.20573767518962, 61.34628297039423, 60.46814159353128, 59.57158103497089, 58.65687439574441, 57.72430030435505, 56.77414283190516, 55.80669140556518, 54.822240720411514, 53.82109064965943, 52.80354615331887, 51.76991718530055, 50.72051859900115, 49.655670051395795, 48.5756959056675]"
2,8.0,0.0,115.49857751537648,"[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17.
 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30.]","[115.49857751537648, 115.4822011407884, 115.43064776903164, 115.3439331037626, 115.2220835591084, 115.06513625162074, 114.87313898896977, 114.64615025538171, 114.38423919382369, 114.08748558494221, 113.75597982276125, 113.3898228871474, 112.98912631305022, 112.55401215652783, 112.08461295756734, 111.58107169971198, 111.04354176650676, 110.47218689477654, 109.86718112475006, 109.2287087470457, 108.55696424653473, 107.85215224309933, 107.11448742930342, 106.34419450499522, 105.54150810886144, 104.70667274695415, 103.83994271821184, 102.94158203699745, 102.01186435267708, 101.05107286626375, 100.05950024415166]"
3,9.0,10.0,154.7244253173324,"[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17.
 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30.]","[152.50763649545405, 152.9400679174949, 153.3259123132844, 153.66505215088176, 153.95738412500717, 154.20281918850947, 154.40128257949073, 154.5527138440794, 154.65706685484543, 154.71430982485083, 154.7244253173324, 154.68741025101315, 154.60327590104086, 154.47204789555354, 154.2937662078729, 154.0684851443281, 153.79627332771338, 153.47721367638508, 153.1114033790038, 152.69895386492982, 152.2399907702806, 151.7346538996608, 151.18309718357662, 150.58548863154675, 149.9420102809254, 149.2528581414515, 148.51824213554286, 147.7383860343512, 146.91352738959964, 146.04391746122187, 145.12982114082624]"
4,10.0,14.0,187.6160210527788,"[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17.
 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30.]","[181.72247064711024, 182.50936862971236, 183.2406724906219, 183.91615946759856, 184.5356238007655, 185.0988767952861, 185.60574687884167, 186.05607965389476, 186.44973794471954, 186.7866018391872, 187.06656872529217, 187.28955332240892, 187.45548770726901, 187.56432133465134, 187.6160210527788, 187.61057111341637, 187.54797317666836, 187.42824631047273, 187.25142698479277, 187.0175690605079, 186.72674377300734, 186.37903971049093, 185.97456278698442, 185.51343621007695, 184.99580044339086, 184.42181316379515, 183.7916492133756, 183.1055005461759, 182.36357616972703, 181.56610208138122, 180.71332119947115]"
5,11.0,17.0,210.00891177863937,"[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17.
 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30.]","[201.14900888708496, 202.17189578832, 203.13319917161482, 204.03262621464643, 204.86990294322467, 205.64477431474708, 206.35700429588755, 207.0063759344943, 207.59269142567564, 208.11577217205314, 208.57545883816425, 208.97161139899745, 209.30410918264508, 209.5728509070612, 209.77775471091329, 209.91875817851766, 209.99581835885218, 210.00891177863937, 209.95803444949686, 209.84320186915184, 209.66444901672077, 209.42183034205405, 209.11541974915033, 208.74531057364447, 208.3116155543766, 207.814466799051, 207.25401574399442, 206.63043310802752, 205.94390884046192, 205.19465206324008, 204.38289100723458]"
6,12.0,18.0,219.68109985094853,"[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17.
 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30.]","[209.4601698252671, 210.58450489476115, 211.64469388408637, 212.6404138494063, 213.57136148477375, 214.43725321452072, 215.2378252796382, 215.9728338181199, 216.64205493924482, 217.24528479177647, 217.78233962605822, 218.253055849985, 218.65729007883505, 218.99491917894636, 219.26584030522432, 219.46997093246944, 219.60724888051516, 219.67763233316867, 219.68109985094853, 219.61765037761518, 219.48730324049285, 219.29009814458223, 219.0260951604659, 218.69537470601026, 218.29803752186945, 217.83420464079893, 217.30401735078752, 216.70763715201977, 216.0452457076815, 215.31704478862335, 214.52325621189956]"
7,13.0,17.0,215.77286323461925,"[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17.
 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30.]","[206.08645663710766, 207.17080588183057, 208.19204889217323, 209.1498745876217, 210.0439912051904, 210.8741263882962, 211.64002726972055, 212.3414605486356, 212.97821256166964, 213.55008934799108, 214.05691670839096, 214.49854025834557, 214.87482547504348, 215.1856577383625, 215.43094236578412, 215.61060464123474, 215.72458983784483, 215.77286323461925, 215.75541012701376, 215.672235831414, 215.52336568351615, 215.30884503060932, 215.02873921776262, 214.68313356791998, 214.2721333559103, 213.79586377637972, 213.25446990565578, 212.64811665755616, 211.97698873315406, 211.2412905645166, 210.44124625243293]"
8,14.0,16.0,198.61001895601527,"[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17.
 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30.]","[191.2548955555682, 192.1605729209542, 193.00771631432718, 193.79606768760306, 194.52538690131666, 195.1954517977704, 195.8060582687057, 196.35702031747653, 196.84817011570547, 197.2793580544061, 197.6504527895553, 197.9613412821019, 198.2119288323994, 198.40213910905243, 198.5319141721682, 198.6012144910053, 198.61001895601527, 198.55832488527275, 198.44614802529253, 198.27352254623278, 198.0405010314867, 197.74715446166508, 197.39357219297466, 196.97986192999986, 196.50614969289435, 195.97257977899457, 195.37931471886515, 194.72653522679042, 194.01444014572726, 193.24324638673565, 192.41318886290534]"
9,15.0,12.0,169.80193232731332,"[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17.
 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30.]","[165.9736468750963, 166.57416915717118, 167.12395133368054, 167.62282593564763, 168.0706410010359, 168.4672601210384, 168.81256248162907, 169.1064429003638, 169.34881185842022, 169.53959552786574, 169.67873579414655, 169.76619027378965, 169.80193232731332, 169.78595106734184, 169.7182513619218, 169.59885383303933, 169.4277948503383, 169.20512652004197, 168.93091666908077, 168.60524882443164, 168.22822218767485, 167.7999516047763, 167.32056753110433, 166.79021599169164, 166.20905853675478, 165.57727219248432, 164.89504940712098, 164.16259799233404, 163.38014105991982, 162.54791695383972, 161.66617917761855]"
